,date,Year,Month,Day,Hour,Temperature,Pressure,Humidity,Wind_Speed,Rainfall,Season,Weekend,Load,Temperature_seasonal,Pressure_seasonal,Humidity_seasonal,Wind_Speed_seasonal,Rainfall_seasonal,Season_seasonal
1599,2019-03-08 15:00:00,2019,3,8,15,15.6,1009.0,97.0,1.7,0.5,1,0,6244.8,1.3296070261437913,-1.2071033496732035,-5.401686070261441,0.29847920662830335,0.3195424836601303,0.0005147058823529412
1600,2019-03-08 16:00:00,2019,3,8,16,15.6,1009.0,98.0,2.2,0.0,1,0,6170.4,0.8216928104575175,-0.9209023692810454,-3.187029207516343,0.19821236945865292,0.06571895424836602,0.0006617647058823532
1601,2019-03-08 17:00:00,2019,3,8,17,16.4,1008.6,99.0,2.0,0.0,1,0,6132.0,0.3227761437908502,-0.5516940359477145,-0.8645292075163374,0.14150925777919876,0.017790032679738582,0.0008088235294117661
1602,2019-03-08 18:00:00,2019,3,8,18,16.4,1008.9,99.0,2.0,0.0,1,0,4888.8,-0.12128513071895396,-0.11521364379085197,0.8052502042483696,0.08488457747229328,-0.044256535947712373,0.0009558823529411779
1603,2019-03-08 19:00:00,2019,3,8,19,16.4,1008.7,98.0,1.7,0.0,1,0,3782.4,-0.34963316993463994,0.33931821895425035,1.9614511846405218,0.00949764226342715,-0.08424428104575166,0.0011029411764705882
1604,2019-03-08 20:00:00,2019,3,8,20,17.0,1009.2,99.0,1.8,0.5,1,0,3081.6,-0.536346405228758,0.6519162581699323,2.791255106209149,-0.011732430200340949,-0.13658496732026143,0.0012500000000000007
1605,2019-03-08 21:00:00,2019,3,8,21,17.1,1008.8,99.0,1.0,1.0,1,0,2546.4,-0.7113807189542476,0.7608035130718964,3.34990706699346,-0.06419779678175612,-0.15098447712418303,0.0013970588235294123
1606,2019-03-08 22:00:00,2019,3,8,22,17.2,1007.5,99.0,1.2,0.5,1,0,1975.2,-0.8740988562091505,0.6161613562091474,3.9116227532679737,-0.08572198689258327,-0.0737050653594771,0.0015441176470588221
1607,2019-03-08 23:00:00,2019,3,8,23,17.4,1007.4,99.0,0.8,0.0,1,0,1752.0,-1.0786846405228767,0.3328304738562107,4.728632557189544,-0.10829764759164529,-0.05083741830065355,0.0016911764705882348
1608,2019-03-09 00:00:00,2019,3,9,0,17.6,1007.5,93.0,0.2,0.5,1,1,1682.4,-1.2448611111111108,0.013242238562094154,5.425789419934637,-0.15549830829070743,-0.12718545751633992,-0.0016911764705882348
1609,2019-03-09 01:00:00,2019,3,9,1,16.9,1007.8,96.0,1.1,1.5,1,1,1596.0,-1.4119746732026153,-0.3130273692810458,6.007423406862743,-0.1891809951335605,-0.09920751633986927,-0.001544117647058825
1610,2019-03-09 02:00:00,2019,3,9,2,16.7,1005.7,97.0,0.5,0.5,1,1,1612.8,-1.5553431372549045,-0.5427357026143812,6.526385825163397,-0.23805240746660994,-0.10593545751633995,-0.001397058823529412
1611,2019-03-09 03:00:00,2019,3,9,3,16.6,1005.6,97.0,0.0,0.5,1,1,1610.4,-1.676471405228758,-0.5670469771241855,6.8854462826797285,-0.25086254528985535,-0.05857026143790847,-0.0012499999999999992
1612,2019-03-09 04:00:00,2019,3,9,4,16.6,1006.6,98.0,0.5,0.5,1,1,1596.0,-1.7752491830065344,-0.3522602124182998,7.187545955882354,-0.29166287919153194,0.02379493464052291,-0.0011029411764705897
1613,2019-03-09 05:00:00,2019,3,9,5,16.2,1006.3,99.0,0.4,2.5,1,1,1766.4,-1.8059264705882363,0.07571282679738603,7.2036652369281065,-0.2833406640736003,0.0008782679738562663,-0.0009558823529411768
1614,2019-03-09 06:00:00,2019,3,9,6,16.4,1006.4,99.0,0.0,2.0,1,1,1896.0,-1.3457875816993452,0.5591392973856166,5.639441380718949,-0.27139589993606145,-0.06673202614379084,-0.000808823529411764
1615,2019-03-09 07:00:00,2019,3,9,7,16.4,1006.2,99.0,0.1,3.0,1,1,2479.2,-0.5018913398692811,0.9629554738562119,2.1177665441176505,-0.18814476324950277,-0.041413398692810424,-0.0006617647058823545
1616,2019-03-09 08:00:00,2019,3,9,8,16.6,1006.6,99.0,0.2,4.0,1,1,2714.4,0.4710808823529417,1.210911356209149,-2.402192606209149,-0.024440195190394923,0.01859885620915035,-0.0005147058823529416
1617,2019-03-09 09:00:00,2019,3,9,9,16.7,1006.3,99.0,0.4,5.0,1,1,2928.0,1.3432246732026147,1.1468329248366056,-6.236955678104577,0.05935505914322254,0.02362336601307193,-0.0003676470588235292
1618,2019-03-09 10:00:00,2019,3,9,10,17.0,1005.6,99.0,0.1,2.5,1,1,3086.4,1.9950580065359462,0.7270142973856237,-9.08668607026143,0.16995832001278774,0.011282679738562115,-0.0002205882352941189
1619,2019-03-09 11:00:00,2019,3,9,11,17.5,1005.1,99.0,0.5,0.5,1,1,3139.2,2.364202614379085,0.09647508169934882,-10.60604881535946,0.2312846200980391,0.011282679738562127,-7.352941176470514e-05
1620,2019-03-09 12:00:00,2019,3,9,12,18.6,1003.5,98.0,0.3,0.5,1,1,3177.6,2.4187197712418307,-0.5792602124182993,-10.294333129084961,0.3113728553921571,-0.028705065359477092,7.352941176470601e-05
1621,2019-03-09 13:00:00,2019,3,9,13,18.5,1003.4,95.0,0.0,0.5,1,1,3110.4,2.1493864379084955,-1.0711474673202594,-9.082298815359488,0.33593199861466333,0.25424836601307205,0.00022058823529411717
1622,2019-03-09 14:00:00,2019,3,9,14,18.6,1002.8,95.0,0.1,3.0,1,1,2685.6,1.7731854575163397,-1.2729219771241862,-7.379823325163397,0.3220426124254048,0.32160130718954244,0.00036764705882353006
1623,2019-03-09 15:00:00,2019,3,9,15,18.6,1002.9,97.0,0.0,2.5,1,1,2628.0,1.3296070261437913,-1.2071033496732035,-5.401686070261441,0.29847920662830335,0.3195424836601303,0.0005147058823529412
1624,2019-03-09 16:00:00,2019,3,9,16,18.6,1002.9,98.0,0.2,2.0,1,1,2630.4,0.8216928104575175,-0.9209023692810454,-3.187029207516343,0.19821236945865292,0.06571895424836602,0.0006617647058823532
1625,2019-03-09 17:00:00,2019,3,9,17,18.5,1002.6,98.0,0.0,1.0,1,1,2510.4,0.3227761437908502,-0.5516940359477145,-0.8645292075163374,0.14150925777919876,0.017790032679738582,0.0008088235294117661
1626,2019-03-09 18:00:00,2019,3,9,18,18.2,1002.1,99.0,0.0,3.5,1,1,2469.6,-0.12128513071895396,-0.11521364379085197,0.8052502042483696,0.08488457747229328,-0.044256535947712373,0.0009558823529411779
1627,2019-03-09 19:00:00,2019,3,9,19,18.4,1003.1,99.0,0.4,1.0,1,1,2313.6,-0.34963316993463994,0.33931821895425035,1.9614511846405218,0.00949764226342715,-0.08424428104575166,0.0011029411764705882
1628,2019-03-09 20:00:00,2019,3,9,20,18.1,1003.6,99.0,0.2,1.5,1,1,2155.2,-0.536346405228758,0.6519162581699323,2.791255106209149,-0.011732430200340949,-0.13658496732026143,0.0012500000000000007
1629,2019-03-09 21:00:00,2019,3,9,21,18.0,1003.4,99.0,0.2,0.0,1,1,2052.0,-0.7113807189542476,0.7608035130718964,3.34990706699346,-0.06419779678175612,-0.15098447712418303,0.0013970588235294123
1630,2019-03-09 22:00:00,2019,3,9,22,17.9,1003.4,99.0,0.6,0.0,1,1,1802.4,-0.8740988562091505,0.6161613562091474,3.9116227532679737,-0.08572198689258327,-0.0737050653594771,0.0015441176470588221
1631,2019-03-09 23:00:00,2019,3,9,23,18.0,1003.1,98.0,0.5,0.5,1,1,1735.2,-1.0786846405228767,0.3328304738562107,4.728632557189544,-0.10829764759164529,-0.05083741830065355,0.0016911764705882348
1632,2019-03-10 00:00:00,2019,3,10,0,17.7,1003.7,99.0,0.5,5.0,1,1,1660.8,-1.2448611111111108,0.013242238562094154,5.425789419934637,-0.15549830829070743,-0.12718545751633992,-0.0016911764705882348
1633,2019-03-10 01:00:00,2019,3,10,1,17.7,1004.3,99.0,0.4,3.5,1,1,1636.8,-1.4119746732026153,-0.3130273692810458,6.007423406862743,-0.1891809951335605,-0.09920751633986927,-0.001544117647058825
1634,2019-03-10 02:00:00,2019,3,10,2,17.4,1003.9,100.0,0.6,1.5,1,1,1646.4,-1.5553431372549045,-0.5427357026143812,6.526385825163397,-0.23805240746660994,-0.10593545751633995,-0.001397058823529412
1635,2019-03-10 03:00:00,2019,3,10,3,17.2,1003.4,99.0,0.0,1.5,1,1,1651.2,-1.676471405228758,-0.5670469771241855,6.8854462826797285,-0.25086254528985535,-0.05857026143790847,-0.0012499999999999992
1636,2019-03-10 04:00:00,2019,3,10,4,17.0,1004.0,99.0,0.5,3.5,1,1,1641.6,-1.7752491830065344,-0.3522602124182998,7.187545955882354,-0.29166287919153194,0.02379493464052291,-0.0011029411764705897
1637,2019-03-10 05:00:00,2019,3,10,5,17.1,1003.7,98.0,0.4,0.5,1,1,1761.6,-1.8059264705882363,0.07571282679738603,7.2036652369281065,-0.2833406640736003,0.0008782679738562663,-0.0009558823529411768
1638,2019-03-10 06:00:00,2019,3,10,6,17.5,1004.0,96.0,0.7,0.0,1,1,1780.8,-1.3457875816993452,0.5591392973856166,5.639441380718949,-0.27139589993606145,-0.06673202614379084,-0.000808823529411764
1639,2019-03-10 07:00:00,2019,3,10,7,18.3,1005.3,93.0,0.3,0.0,1,1,1886.4,-0.5018913398692811,0.9629554738562119,2.1177665441176505,-0.18814476324950277,-0.041413398692810424,-0.0006617647058823545
1640,2019-03-10 08:00:00,2019,3,10,8,17.6,1005.6,88.0,1.5,0.0,1,1,1968.0,0.4710808823529417,1.210911356209149,-2.402192606209149,-0.024440195190394923,0.01859885620915035,-0.0005147058823529416
1641,2019-03-10 09:00:00,2019,3,10,9,16.9,1006.3,90.0,1.1,0.0,1,1,1968.0,1.3432246732026147,1.1468329248366056,-6.236955678104577,0.05935505914322254,0.02362336601307193,-0.0003676470588235292
1642,2019-03-10 10:00:00,2019,3,10,10,16.6,1006.3,90.0,1.2,0.0,1,1,2018.4,1.9950580065359462,0.7270142973856237,-9.08668607026143,0.16995832001278774,0.011282679738562115,-0.0002205882352941189
1643,2019-03-10 11:00:00,2019,3,10,11,16.0,1005.8,90.0,2.2,0.0,1,1,2047.2,2.364202614379085,0.09647508169934882,-10.60604881535946,0.2312846200980391,0.011282679738562127,-7.352941176470514e-05
1644,2019-03-10 12:00:00,2019,3,10,12,15.6,1005.9,91.0,0.3,0.0,1,1,2066.4,2.4187197712418307,-0.5792602124182993,-10.294333129084961,0.3113728553921571,-0.028705065359477092,7.352941176470601e-05
